timestamp,open,high,low,close,volume
2020-11-25,130.5100,131.1500,129.8700,130.8300,869565
2020-11-24,129.4200,131.4850,128.5450,131.2500,1275204
2020-11-23,128.3500,129.6000,127.5300,128.0700,1111606
2020-11-20,127.3600,128.4300,127.1200,127.3900,1534775
2020-11-19,125.0100,127.6300,124.8100,127.2000,916454
2020-11-18,127.4000,127.4300,125.5450,125.8000,1409923
2020-11-17,125.0500,128.4200,125.0000,127.0600,1528254
2020-11-16,121.4600,126.3000,121.3500,126.2800,1629387
2020-11-13,121.3600,123.7500,121.0300,123.4000,1313158
2020-11-12,123.4500,123.8900,119.6350,120.2100,1611612
2020-11-11,123.1900,125.4000,122.7900,124.2800,2141261
2020-11-10,121.0000,122.9200,120.5100,121.8500,2018240
2020-11-09,125.5000,128.5400,121.4200,121.5900,1956655
2020-11-06,119.6700,120.6200,119.1200,120.3400,831964
2020-11-05,118.3900,120.4000,117.9100,119.4600,1698056
2020-11-04,116.6200,117.8400,114.8200,115.9200,2206613
2020-11-03,116.6700,118.8500,116.4100,116.5000,1472632
2020-11-02,114.3100,115.4700,113.5500,115.0700,1503449
2020-10-30,112.6700,112.9000,111.0100,112.8400,1109208
2020-10-29,111.4600,114.5400,110.6600,113.1700,1384974
2020-10-28,113.1900,113.7700,111.1600,111.5100,1157719
2020-10-27,116.3600,117.3800,114.5100,115.0500,1258858
2020-10-26,118.0400,118.3300,114.5900,116.4500,1108109
2020-10-23,119.4000,119.7700,117.8900,119.7500,1531614
2020-10-22,115.1200,119.3500,114.7350,118.5100,1647439
2020-10-21,114.8600,119.0800,113.7100,114.9400,2168228
2020-10-20,114.6200,116.1800,113.5050,114.6000,1379541
2020-10-19,115.1300,115.8400,112.5700,113.1000,1561765
2020-10-16,115.0000,115.9700,114.8150,115.1600,2972622
2020-10-15,112.2100,114.4200,111.6300,114.3600,1362186
2020-10-14,113.7700,114.6500,112.7550,113.4800,1062905
2020-10-13,114.1700,114.4400,112.6950,112.9800,1534737
2020-10-12,114.2000,116.1000,113.7400,114.7600,1959475
2020-10-09,114.5300,115.2550,113.1200,113.4900,1209762
2020-10-08,113.5300,114.5500,113.1700,113.5000,703560
2020-10-07,111.2300,113.5600,111.2300,113.0300,859016
2020-10-06,111.2900,112.7600,110.0400,110.1400,1175671
