timestamp,open,high,low,close,volume
2020-11-13,190.0000,195.2700,189.6500,194.3000,1278039
2020-11-12,186.7000,190.5500,185.4700,189.3000,1210876
2020-11-11,189.2800,190.1000,186.3600,187.7100,2065476
2020-11-10,187.8900,192.5400,185.5300,189.5300,1806084
2020-11-09,187.9900,190.5100,182.1800,185.8500,2030993
2020-11-06,180.5600,181.0100,176.9357,178.9400,1263900
2020-11-05,184.4700,185.3100,180.2600,181.0400,2498407
2020-11-04,180.4500,188.2000,180.4300,183.3000,2829269
2020-11-03,172.2000,178.9900,171.4500,178.8100,1863058
2020-11-02,164.2400,171.9500,163.8200,170.4000,1867552
2020-10-30,163.0000,164.4000,158.0900,161.1100,1984831
2020-10-29,160.6500,163.5400,160.1800,162.9500,1200493
2020-10-28,164.5600,166.1900,161.1300,161.3200,1217939
2020-10-27,169.1900,170.0300,166.1900,166.2600,1262836
2020-10-26,170.3700,170.5100,167.1500,169.8300,1349129
2020-10-23,171.1900,172.8800,169.8100,171.8000,1132225
2020-10-22,170.1000,172.0000,169.5101,169.6000,979310
2020-10-21,170.6900,172.2500,169.8100,169.8100,872688
2020-10-20,173.0000,173.3200,170.1300,171.2100,1010915
2020-10-19,174.8300,176.4700,170.9000,171.4300,852703
2020-10-16,174.4600,175.4100,174.1600,174.3700,960427
2020-10-15,175.1100,176.0150,172.9200,173.4700,1031320
2020-10-14,174.6200,177.3800,174.3001,176.3500,724962
2020-10-13,174.1300,175.4900,173.5600,174.4100,911382
2020-10-12,175.5200,175.8400,174.2700,175.0400,1154314
2020-10-09,179.0800,179.4900,174.4800,175.4500,1039183
2020-10-08,175.4000,178.1400,175.0000,178.1400,832412
2020-10-07,174.8800,177.3825,174.8000,175.4000,900680
2020-10-06,175.9900,177.3300,173.6500,173.9600,946588
2020-10-05,174.4100,175.8700,172.4600,174.4000,767495
2020-10-02,170.7000,174.1500,169.9800,173.0700,938657
2020-10-01,172.0000,174.8900,171.4700,172.6900,1669913
2020-09-30,174.4800,175.6200,168.3950,169.8400,2829558
2020-09-29,178.3300,178.3300,175.4300,175.7500,923061
2020-09-28,179.8100,181.1800,178.3500,178.6300,656726
2020-09-25,174.8400,178.5800,174.8250,178.0200,649927
2020-09-24,177.6200,177.8450,172.6300,175.7400,1196114
2020-09-23,181.5200,183.8700,177.5000,178.1300,1144396
2020-09-22,177.0100,181.6900,177.0100,180.7500,1033255
2020-09-21,181.5000,183.1500,176.8000,177.5800,1625619
2020-09-18,184.3300,187.7000,184.3100,185.2100,1785317
2020-09-17,180.6100,185.9800,179.7621,185.4400,1140791
2020-09-16,179.0100,184.8700,178.1400,182.1800,1350357
2020-09-15,182.4500,182.5000,178.1175,178.7800,830675
2020-09-14,181.7200,182.5500,180.5300,181.6300,714532
2020-09-11,176.9500,181.5925,176.8700,181.0300,1202707
2020-09-10,181.4000,182.6800,175.6200,176.4000,1469036
2020-09-09,180.5300,182.9500,178.3800,180.8400,1108699
2020-09-08,180.3900,182.9000,178.6100,179.6100,1478975
2020-09-04,184.4800,185.8100,181.4300,181.7300,1401101
2020-09-03,184.0000,186.8695,180.9300,182.1100,1425369
2020-09-02,177.8500,183.7300,177.1800,182.9400,1478363
2020-09-01,179.2500,180.2500,177.1500,177.7200,1390012
2020-08-31,179.9600,181.6350,179.3800,180.7400,1502708
2020-08-28,181.7200,181.7500,179.2500,179.8900,1096774
2020-08-27,180.0400,182.7150,179.6800,181.1700,1294645
2020-08-26,180.1400,180.3000,178.5000,179.3000,1657231
2020-08-25,183.6000,185.1800,181.0000,181.0200,1156162
2020-08-24,179.3300,182.9600,178.1200,182.5300,921128
2020-08-21,178.2800,180.3000,178.0000,178.5900,1645861
2020-08-20,180.2600,181.6600,178.6900,178.9600,973347
2020-08-19,180.1000,182.1975,179.9900,181.1800,1117289
2020-08-18,181.5500,182.6400,179.7200,180.9800,993942
2020-08-17,182.8800,185.1600,180.9500,181.5500,1377922
2020-08-14,178.4600,183.2400,178.1600,182.5800,1178438
2020-08-13,181.1300,184.5750,180.1578,180.9700,1518748
2020-08-12,183.3400,185.4500,181.3050,183.0700,2013956
2020-08-11,182.3200,185.7500,180.5800,180.6400,1920813
2020-08-10,175.5300,180.0000,175.4000,179.1800,1461842
2020-08-07,173.8400,176.9900,173.4000,175.6400,1492480
2020-08-06,171.1100,173.6700,171.1100,173.6700,1501590
2020-08-05,168.3300,173.0500,168.2550,172.1400,1907680
2020-08-04,168.7800,169.6300,166.4300,167.2900,1494247
2020-08-03,170.0000,170.6150,167.8000,167.8800,1982072
2020-07-31,172.8000,174.6500,166.8400,168.3300,2305667
2020-07-30,171.7600,174.1699,171.0500,173.2300,1255597
2020-07-29,172.0300,173.6450,170.9000,173.0000,1383627
2020-07-28,166.8800,173.0300,166.8800,171.4000,1072701
2020-07-27,170.5100,171.6000,166.9200,167.5500,982561
2020-07-24,172.4100,175.0000,169.2100,171.2400,1269034
2020-07-23,173.4100,174.9200,171.7600,172.6700,818108
2020-07-22,168.3200,174.0900,167.6500,173.3400,970711
2020-07-21,169.2500,170.6700,168.3800,168.8900,1093000
2020-07-20,169.4300,169.9500,165.8400,167.1000,1072000
2020-07-17,167.9500,171.4200,167.3000,169.9600,1548900
2020-07-16,165.2100,168.2000,164.0100,167.0300,1226000
2020-07-15,165.8400,168.8300,165.1100,166.8300,1249400
2020-07-14,162.1000,162.7100,158.7700,162.3600,1321600
2020-07-13,163.6800,165.3000,161.4100,162.4300,1443700
2020-07-10,159.9300,163.0000,159.9300,162.5100,1645700
2020-07-09,164.1000,164.9900,159.5500,159.8000,2082900
2020-07-08,167.8000,167.8000,163.6500,164.6500,1698300
2020-07-07,172.3400,173.9300,167.5900,167.6800,1333100
2020-07-06,174.6800,174.8800,171.8100,174.0000,1245900
2020-07-02,172.0100,173.7800,169.1500,172.0000,1766400
2020-07-01,171.4400,172.9000,170.2900,170.4900,1677700
2020-06-30,173.7400,175.1500,168.9600,169.6700,2492800
2020-06-29,171.8000,175.5920,170.5000,174.8000,1375575
2020-06-26,171.0000,174.1700,168.6400,169.6100,7173100
2020-06-25,167.1700,171.7500,163.6900,170.7900,2713900
2020-06-24,175.8800,175.9900,167.9700,168.2400,2881700
2020-06-23,185.6900,186.1000,177.0000,177.2500,2383500
2020-06-22,182.0000,185.3700,179.5200,184.2000,1599500
2020-06-19,191.4900,191.4900,182.0100,182.2400,3351500
2020-06-18,190.2200,191.6800,187.1300,188.2500,1134600
2020-06-17,191.2000,193.1000,188.7600,191.4300,1092200
2020-06-16,192.3700,196.8700,190.0200,191.0100,1673500
2020-06-15,189.0400,191.5200,186.0100,188.1000,2070700
2020-06-12,201.1100,201.6500,190.0100,193.1500,1321500
2020-06-11,200.3600,202.2500,196.3000,196.5100,1791200
2020-06-10,208.5700,209.2100,204.7200,206.7000,1188200
2020-06-09,206.6400,209.4200,206.6200,208.2800,1489300
2020-06-08,206.7400,209.7700,205.1600,209.6600,1490100
2020-06-05,205.6900,208.2200,203.5900,204.8700,1744200
2020-06-04,200.0000,202.3900,198.5900,199.4800,1510300
2020-06-03,196.7800,201.7600,196.0800,200.6100,1773800
2020-06-02,196.1900,196.6200,192.9500,194.5700,1968100
2020-06-01,197.2700,198.5200,195.5800,196.1200,1459600
2020-05-29,195.0000,199.9000,193.4300,199.4500,1815500
2020-05-28,196.8400,197.9300,193.0000,196.7300,1579800
2020-05-27,188.0000,193.0400,186.0300,192.9500,2259800
2020-05-26,184.9000,186.0800,182.7200,184.7700,2811900
2020-05-22,184.9000,184.9000,179.8500,180.4500,1084700
2020-05-21,180.0000,185.1200,179.3300,184.1200,1550700
2020-05-20,182.0900,182.8700,178.8200,179.1800,1480500
2020-05-19,181.3300,183.3000,179.7600,179.8900,1192800
2020-05-18,182.6800,182.6800,179.3300,180.9200,1505300
2020-05-15,175.8100,177.4700,174.6800,176.7800,1714100
2020-05-14,175.2800,177.9900,171.8200,177.8400,1731600
2020-05-13,180.1300,180.8800,175.5600,177.5400,1399100
2020-05-12,180.0000,184.0500,179.4500,180.6100,1766700
2020-05-11,180.0000,181.3400,178.0300,179.4000,1727200
2020-05-08,184.3500,184.6200,180.2400,180.9500,1845700
2020-05-07,185.0000,185.7500,182.0100,182.4900,1370700
