timestamp,open,high,low,close,volume
2020-11-25,343.7100,343.7100,339.3409,341.3200,2535198
2020-11-24,336.9100,344.1100,334.1150,342.3900,3513355
2020-11-23,326.2100,333.2000,324.3700,332.0400,3220817
2020-11-20,334.7800,335.1550,323.0000,323.0000,4144864
2020-11-19,335.4900,339.1600,331.4200,333.8800,2718742
2020-11-18,336.5300,340.9500,334.8550,335.9400,3203424
2020-11-17,333.1700,337.7700,330.7200,336.5000,3412853
2020-11-16,341.8000,342.6500,333.1700,335.4500,3313117
2020-11-13,330.3000,336.1100,327.3400,335.0300,2393997
2020-11-12,329.0600,333.0900,326.2950,328.2900,3208585
2020-11-11,337.4100,337.7000,331.0700,332.3900,2969922
2020-11-10,339.9900,345.8600,333.4400,334.7800,5330365
2020-11-09,346.9200,357.0000,340.9000,344.5600,10933692
2020-11-06,315.9800,316.4900,310.0900,313.6400,2978524
2020-11-05,315.1400,319.3500,313.5800,316.5300,3794406
2020-11-04,305.0900,312.7199,302.2400,307.2000,4790140
2020-11-03,294.4500,300.3400,291.7800,295.3900,4097715
2020-11-02,294.2400,294.8372,288.1200,289.9700,5095018
2020-10-30,289.8500,291.8500,281.2000,288.6400,6893575
2020-10-29,293.2000,295.3000,287.5500,293.1800,9582260
2020-10-28,301.6900,302.0000,288.6000,291.3800,11518248
2020-10-27,318.9000,319.5550,312.3550,317.1100,4314917
2020-10-26,326.4100,327.2400,314.2300,318.0600,5173344
2020-10-23,335.6900,335.6900,328.3100,329.6100,2945459
2020-10-22,333.3700,335.3750,329.2500,333.6000,2256296
2020-10-21,332.4900,336.3200,331.3000,333.4200,2725252
2020-10-20,333.0400,336.8000,331.6800,331.7200,2679689
2020-10-19,340.1200,341.3000,330.4300,331.6700,2937563
2020-10-16,340.0000,344.9787,339.2300,339.4000,3326354
2020-10-15,338.3000,339.6100,332.8150,338.5700,3728078
2020-10-14,345.7600,347.1900,341.1900,342.7000,2234659
2020-10-13,351.4300,351.5000,345.0200,345.8400,2523751
2020-10-12,355.0000,355.0000,350.8200,352.0400,2943192
2020-10-09,347.9900,353.3600,347.0000,352.3900,3116763
2020-10-08,345.0100,347.6900,344.2400,345.1500,1991848
2020-10-07,341.7800,344.6500,340.3350,343.9000,3068268
2020-10-06,342.0600,346.3600,336.2200,337.4300,2553410
2020-10-05,341.6800,343.2500,338.9700,343.2500,2081554
2020-10-02,338.2700,342.6100,336.0100,338.8300,2184840
2020-10-01,342.2400,346.7000,340.2800,343.3700,2503643
2020-09-30,336.7000,343.6500,336.4200,338.1700,3285410
2020-09-29,338.3900,340.7200,335.8200,336.2300,2703855
2020-09-28,336.6100,340.5700,335.8100,338.3900,3122503
2020-09-25,325.6500,333.4800,322.1000,331.7800,3077606
2020-09-24,323.2000,330.7800,321.1800,328.2100,3706328
2020-09-23,334.8400,335.1700,323.4700,324.5300,2893892
2020-09-22,329.5100,336.0300,325.1100,335.3100,3375282
2020-09-21,329.4700,331.6700,320.8100,327.8500,4466047
2020-09-18,338.2100,341.1350,333.3700,335.2600,4006023
2020-09-17,337.1400,343.7200,336.0000,339.4300,3713239
2020-09-16,341.2800,346.0400,339.7850,341.8500,3049084
2020-09-15,342.7400,343.9300,338.5300,339.1400,2396398
2020-09-14,334.9700,340.0000,334.0200,338.6000,3416441
2020-09-11,334.7100,334.7100,327.3100,330.1500,2920670
2020-09-10,342.5000,345.1300,331.1400,332.8800,2845917
2020-09-09,337.3900,342.7600,332.3700,339.6400,3344928
2020-09-08,328.7600,335.7100,326.9000,329.8800,4425652
2020-09-04,343.0000,346.9900,326.5501,335.0100,6571423
2020-09-03,358.4700,358.9400,341.2600,343.8400,6297442
2020-09-02,357.3900,361.6000,356.2811,360.7000,4127221
2020-09-01,357.7100,359.4400,353.5600,356.9000,4412230
2020-08-31,366.6300,366.6300,357.6898,358.1900,3948240
2020-08-28,357.4800,367.2500,356.1600,366.1200,3544720
2020-08-27,351.7300,358.0000,350.5800,356.0000,3811724
2020-08-26,348.0000,352.2900,345.5000,351.0200,3511970
2020-08-25,344.7100,348.4600,343.3300,347.6600,2862965
2020-08-24,339.3600,343.8300,338.7500,343.6400,2753906
2020-08-21,338.0000,338.8000,335.9700,337.1000,2681080
2020-08-20,330.1900,338.0000,330.1900,337.3200,2966407
2020-08-19,330.0400,334.4599,330.0000,332.4000,3420991
2020-08-18,330.2000,331.4000,326.3501,331.0000,3022140
2020-08-17,327.0000,331.2300,326.6750,330.2300,2894481
2020-08-14,325.6700,327.6400,324.8100,326.8000,1444904
2020-08-13,325.9300,329.8306,325.6237,326.1900,2527126
2020-08-12,328.6600,331.4000,326.2000,327.6300,3126682
2020-08-11,325.0000,334.5500,323.5800,328.5400,5273319
2020-08-10,327.1900,329.7400,321.8570,322.8800,3752382
2020-08-07,328.0000,328.3300,323.9300,328.0200,3662668
2020-08-06,327.4000,331.2150,325.9000,330.1400,4839813
2020-08-05,316.3700,329.6800,315.8700,328.0000,5799100
2020-08-04,312.5000,315.6900,311.1000,314.3900,3409339
2020-08-03,311.0000,313.5000,309.3000,312.5900,3908500
2020-07-31,310.0000,310.0900,305.6101,308.5300,4684553
2020-07-30,304.0000,312.8200,303.0400,309.0000,3941573
2020-07-29,304.5000,311.6600,304.1200,309.3000,3542405
2020-07-28,308.5000,310.2000,306.0300,306.3300,2116279
2020-07-27,307.0600,310.0000,306.0234,308.8600,2311575
2020-07-24,306.4800,310.7300,304.5400,306.9200,2500686
2020-07-23,313.5500,317.2400,308.7200,309.9000,3118539
2020-07-22,308.1300,313.5700,308.1300,313.3700,3303094
2020-07-21,313.0000,314.0500,306.3000,307.6000,3562035
2020-07-20,301.9200,314.9900,301.9200,311.9600,5278576
2020-07-17,301.7300,305.2400,299.4100,304.0600,3169774
2020-07-16,302.9700,303.5300,298.9100,299.3500,3309256
2020-07-15,303.0000,306.7700,301.3900,305.7200,5249947
2020-07-14,292.0000,299.1000,288.6500,298.9500,4781924
2020-07-13,297.8600,298.6200,290.0200,290.1800,4850856
2020-07-10,294.0000,296.9600,291.5000,295.6800,3030398
2020-07-09,299.6200,300.7200,290.5600,294.5900,5042756
2020-07-08,300.9100,301.5400,297.4000,300.1500,4114881
2020-07-07,303.1900,307.7900,299.4000,299.9100,3632892
2020-07-06,306.6500,307.3200,303.1700,305.5700,3012439
2020-07-02,304.3300,306.8900,301.3100,302.4200,3288664
2020-07-01,295.9600,303.2700,295.1200,301.1700,3803894
2020-06-30,293.0900,296.6000,291.0100,295.7000,4282275
2020-06-29,291.3400,293.1500,285.1500,292.9300,3642182
2020-06-26,296.8800,298.1100,289.1700,289.3400,4920181
2020-06-25,294.1600,298.3900,290.6700,298.0100,3292886
2020-06-24,305.0000,305.5200,293.0600,294.0100,5081365
2020-06-23,307.0300,310.4300,304.4200,306.8800,3799767
2020-06-22,299.6000,304.9500,297.7300,304.4400,3486212
2020-06-19,309.5000,309.5000,296.5000,296.5000,4531968
2020-06-18,301.8300,305.1000,300.5000,304.8500,2774939
2020-06-17,305.0000,307.4800,303.0800,303.7600,2562640
2020-06-16,305.9100,309.0900,300.1100,304.4800,4012848
2020-06-15,290.0000,298.9200,288.7500,297.1700,5932807
2020-06-12,298.7900,299.9900,290.8900,297.7900,4509928
2020-06-11,305.0100,306.4900,291.0600,291.2500,6498534
2020-06-10,312.3900,316.0600,310.2900,313.1500,4082451
2020-06-09,309.7800,313.4700,308.2000,311.4900,3313613
2020-06-08,311.0600,313.5800,307.0500,310.4100,3722609
2020-06-05,306.8100,312.1800,305.6500,311.8800,5056938
2020-06-04,305.4400,306.6200,299.3400,301.3700,4146781
2020-06-03,305.4800,308.1100,302.2100,307.0700,3428417
2020-06-02,304.9900,306.1100,301.6900,303.5900,4130399
2020-06-01,300.8000,303.0600,297.9000,301.4000,2841774
2020-05-29,302.0000,304.4300,298.8700,300.8900,4929965
2020-05-28,300.9800,310.0000,298.8400,302.3000,4520761
2020-05-27,304.0000,304.7300,292.1200,299.7700,5147670
2020-05-26,304.6200,305.0000,301.9400,303.3300,5244576
2020-05-22,295.0600,296.8000,293.0100,294.9100,2895923
2020-05-21,299.3700,299.9300,292.7500,294.2600,3942024
2020-05-20,295.7500,301.1500,295.3900,298.8000,4589806
2020-05-19,289.1700,297.8200,287.4900,290.7300,5210362
2020-05-18,285.4600,292.0900,285.0000,289.9000,6037679
2020-05-15,276.0400,279.1400,273.2900,278.9400,3810793
2020-05-14,270.2000,277.5600,263.9600,277.3100,6291035
2020-05-13,272.3000,276.0700,264.1900,269.1600,4793369
2020-05-12,280.4500,282.3300,272.1100,272.1100,4019569
2020-05-11,279.5000,282.8100,277.6300,281.2300,4056227
2020-05-08,283.4000,283.4200,279.5000,282.4400,3215357
2020-05-07,277.8100,282.4500,277.2400,278.4700,4370566
2020-05-06,276.9600,276.9600,271.5500,272.4400,3258415
2020-05-05,276.8400,277.8500,273.3000,273.9800,3925424
2020-05-04,265.5000,270.0700,263.0100,269.2600,3747049
2020-05-01,268.7000,273.9900,267.2100,268.7400,5066031
2020-04-30,278.4300,281.6300,273.4100,274.9700,5887671
2020-04-29,278.4500,285.0000,276.2600,283.6900,8500102
2020-04-28,270.4000,272.6500,262.9600,264.6000,4341362
2020-04-27,260.2200,265.7200,259.5100,265.1200,4099301
2020-04-24,258.4300,259.8300,252.8300,258.7600,3824186
2020-04-23,259.3900,262.4200,255.2700,255.8600,4267023
2020-04-22,251.4600,258.6000,251.0000,256.9100,5082043
2020-04-21,246.6500,249.3900,244.1000,245.3500,5962709
2020-04-20,254.5100,256.6300,249.6700,251.7300,6036654
2020-04-17,258.2500,260.7000,251.5100,259.9700,10406616
2020-04-16,258.3900,258.3900,244.7100,246.7600,11401116
2020-04-15,260.5100,262.9500,255.6200,257.1400,10231745
2020-04-14,269.8800,275.6400,269.2000,270.7200,6352219
2020-04-13,268.2000,268.7000,255.7500,263.3400,7109609
2020-04-09,275.1300,276.0000,267.7200,269.4000,6661224
2020-04-08,262.5100,271.8800,258.9100,270.9500,5686636
2020-04-07,281.6100,282.8700,258.4800,259.0800,8622349
2020-04-06,252.0000,267.1100,250.0100,265.9400,8630269
2020-04-03,236.9800,239.8800,230.3100,237.0300,4160869
2020-04-02,228.3900,239.3700,227.3500,238.8800,6444181
2020-04-01,230.9400,237.1000,227.1000,228.6100,6639011
2020-03-31,252.4600,253.4200,241.0800,241.5600,10367003
2020-03-30,245.8500,254.2500,244.6500,253.2500,5764171
2020-03-27,250.2400,256.0700,244.7000,247.6500,7816713
2020-03-26,257.9000,265.8100,252.6200,263.1800,9956432
2020-03-25,247.9000,266.3000,240.3600,256.4800,12640742
2020-03-24,215.9200,238.4400,215.0000,237.0700,11646868
2020-03-23,203.2800,215.6800,199.9900,203.3000,11583409
2020-03-20,236.0200,236.0200,210.0000,211.4200,10497376
2020-03-19,224.0100,238.5000,211.5500,227.1500,9122844
2020-03-18,222.3400,229.1000,213.2200,227.9300,11288441
2020-03-17,240.4800,250.5000,231.9600,237.8800,12655907
2020-03-16,234.4900,257.7300,229.2600,235.6500,12104129
2020-03-13,258.7800,270.0300,245.5000,270.0100,9929316
2020-03-12,244.5300,262.4900,240.9300,241.5000,14878984
2020-03-11,272.9500,274.0400,263.3100,269.7600,8362774
2020-03-10,276.4200,280.8700,262.8600,280.5700,8126913
2020-03-09,265.0000,279.2400,261.1800,262.0100,8489058
2020-03-06,282.6900,288.8500,278.6200,287.0100,7056370
2020-03-05,295.7100,298.7100,288.2400,290.7300,6617924
2020-03-04,299.1100,302.8000,292.7500,302.3600,6458598
2020-03-03,314.5900,314.5900,290.8300,292.0000,8045109
2020-03-02,298.8900,306.9600,289.4400,306.7400,9683269
2020-02-28,274.8900,290.3900,273.5500,290.2500,12845443
2020-02-27,285.0300,297.4500,280.9400,285.8200,13805429
2020-02-26,302.0000,307.8900,297.8900,298.0400,9402744
2020-02-25,321.3400,323.2300,300.7600,302.8900,12704024
2020-02-24,317.5100,329.3400,313.8400,324.6700,7784208
2020-02-21,342.5500,343.8900,335.6100,339.7000,4997037
2020-02-20,345.7400,347.2500,338.1700,344.4500,4310603
2020-02-19,343.9900,347.2400,342.6300,344.5600,3040295
2020-02-18,341.6200,343.1000,340.3900,341.2400,3596853
2020-02-14,337.4600,341.0400,337.0300,340.9500,2713909
2020-02-13,332.3100,337.8300,332.1300,335.8400,3000969
2020-02-12,330.8200,334.4500,329.2200,334.1600,2447340
2020-02-11,335.0000,335.5200,329.6600,330.9200,3449308
2020-02-10,325.6200,330.2800,325.5100,330.2800,3846694
2020-02-07,328.0000,329.8500,325.8700,327.0000,2582937
2020-02-06,329.3200,331.2300,327.6800,329.3000,3421962
2020-02-05,335.0000,335.0000,324.1700,328.3200,3867269
2020-02-04,328.2400,331.7400,326.2900,329.1200,4157495
2020-02-03,318.8000,325.4800,318.4300,324.5200,4237586
2020-01-31,323.1400,324.4600,314.5000,315.9400,5585527
2020-01-30,319.0000,324.7000,318.0100,324.4600,3511336
2020-01-29,323.0000,324.4400,316.7700,320.3200,4391984
2020-01-28,315.8000,321.5200,315.4600,320.2700,3479616
2020-01-27,315.1000,319.3600,312.5000,315.7700,4364127
2020-01-24,326.5700,327.0900,321.6600,323.6700,3633379
2020-01-23,325.0000,325.2500,322.3200,324.9800,4188292
2020-01-22,324.9500,326.7900,324.1200,324.3100,3516741
2020-01-21,322.4100,325.6600,321.4900,321.9300,5996593
2020-01-17,321.4300,324.0300,319.2400,323.6600,4819605
2020-01-16,317.5000,320.3300,314.9900,320.3000,3322471
2020-01-15,312.1900,315.7300,311.0400,314.2500,4661913
2020-01-14,316.1800,316.4200,309.8600,310.6400,4951131
2020-01-13,313.2600,315.6400,312.9000,315.2100,3236341
2020-01-10,311.5800,311.9500,308.7400,311.1700,2948001
2020-01-09,308.2800,310.9400,308.0200,309.1000,3292591
2020-01-08,300.7800,306.9500,300.5100,305.1000,3224335
