timestamp,open,high,low,close,volume
2020-11-25,6.4000,6.6000,6.2400,6.4300,27827313
2020-11-24,6.5000,6.6300,6.3400,6.4500,41722747
2020-11-23,5.7200,6.1900,5.7100,6.1700,42087002
2020-11-20,5.6700,5.7300,5.5100,5.6000,30192804
2020-11-19,5.4600,5.7100,5.3700,5.6900,20316532
2020-11-18,5.5400,5.8600,5.4800,5.4900,41398464
2020-11-17,5.3200,5.5400,5.2100,5.5000,31148596
2020-11-16,5.3200,5.4800,5.2150,5.4800,36501624
2020-11-13,4.8700,5.0750,4.8600,5.0600,22610827
2020-11-12,4.9600,5.1400,4.7700,4.8200,25598488
2020-11-11,5.1500,5.2200,5.0100,5.0700,29621487
2020-11-10,5.2000,5.2200,4.8900,5.0700,38749014
2020-11-09,4.6700,5.1900,4.6700,5.0900,63052025
2020-11-06,4.2600,4.4200,4.1000,4.1300,33393281
2020-11-05,4.2900,4.5100,4.2100,4.2900,51484419
2020-11-04,4.1200,4.3400,3.9950,4.2700,48596152
2020-11-03,4.2500,4.3000,4.1000,4.1400,27651058
2020-11-02,3.9800,4.2200,3.8600,4.1500,28883791
2020-10-30,3.9400,4.0100,3.8300,3.9600,28399618
2020-10-29,3.8100,3.9900,3.7300,3.9900,33146254
2020-10-28,3.9800,4.0000,3.8200,3.8500,35781593
2020-10-27,4.1100,4.1900,4.0400,4.1300,29113804
2020-10-26,4.2900,4.3000,4.1000,4.1300,27976581
2020-10-23,4.4000,4.5600,4.3700,4.4400,30662123
2020-10-22,4.1100,4.4000,4.0900,4.3700,29831560
2020-10-21,4.1100,4.2250,4.0600,4.1000,27318510
2020-10-20,4.0100,4.1900,4.0000,4.1500,27770559
2020-10-19,4.1000,4.1400,3.9800,3.9800,28806284
2020-10-16,4.2300,4.2300,4.0700,4.0700,25005833
2020-10-15,4.1500,4.2700,4.0600,4.2700,21728163
2020-10-14,4.2600,4.4700,4.2000,4.2000,23466306
2020-10-13,4.2100,4.3282,4.1900,4.2300,21208534
2020-10-12,4.2400,4.3200,4.1800,4.2900,24537299
2020-10-09,4.4100,4.4750,4.2000,4.2600,23129938
2020-10-08,4.1100,4.3800,4.0600,4.3800,25876336
2020-10-07,4.1000,4.1500,4.0300,4.1300,21641171
2020-10-06,4.2900,4.3800,4.0300,4.0400,29787736
2020-10-05,4.2100,4.2400,4.0900,4.2300,26467172
2020-10-02,3.8200,4.1300,3.7900,4.1200,33777365
2020-10-01,4.0500,4.0800,3.9300,3.9500,25383247
2020-09-30,4.1500,4.2100,4.0600,4.0900,24668526
2020-09-29,4.2600,4.2700,4.0400,4.1600,23584779
2020-09-28,4.2100,4.3700,4.1300,4.2900,25052276
2020-09-25,4.2300,4.2800,4.0800,4.1400,24451436
2020-09-24,4.1900,4.4000,4.0200,4.3100,28672830
2020-09-23,4.5000,4.5300,4.2100,4.2100,20822221
2020-09-22,4.5900,4.6900,4.4400,4.4700,17571431
2020-09-21,4.6400,4.6500,4.4900,4.5600,23009037
2020-09-18,4.6602,4.8700,4.6500,4.8200,49201583
2020-09-17,4.4800,4.7000,4.4650,4.6800,22619995
2020-09-16,4.4200,4.6700,4.3500,4.5600,35222200
2020-09-15,4.4000,4.4976,4.3200,4.3400,22956325
2020-09-14,4.4700,4.4879,4.3600,4.4000,22333008
2020-09-11,4.3900,4.4800,4.3400,4.4700,30568174
2020-09-10,4.5100,4.5600,4.3600,4.3600,35742163
2020-09-09,4.5600,4.5600,4.4100,4.5400,27643914
2020-09-08,4.7700,4.7900,4.5000,4.5000,35070664
2020-09-04,5.0300,5.1100,4.8500,4.9300,30189233
2020-09-03,5.1000,5.2300,4.9500,4.9900,27732797
2020-09-02,5.2700,5.3200,5.1000,5.1200,24820900
2020-09-01,5.2600,5.3400,5.1600,5.3200,17461065
2020-08-31,5.3900,5.4000,5.2400,5.2800,24298754
2020-08-28,5.3600,5.4400,5.2800,5.3900,18881423
2020-08-27,5.3700,5.3800,5.2200,5.3600,19257373
2020-08-26,5.4600,5.5000,5.2800,5.3000,15400135
2020-08-25,5.5300,5.5900,5.3700,5.4900,17781848
2020-08-24,5.3500,5.5500,5.2700,5.4500,21120747
2020-08-21,5.4600,5.4700,5.2500,5.2700,27861279
2020-08-20,5.6300,5.6800,5.4600,5.5100,23007640
2020-08-19,5.9000,5.9200,5.7000,5.7300,24296108
2020-08-18,5.8400,6.0300,5.7900,5.9500,26614689
2020-08-17,6.0200,6.0500,5.8100,5.9200,21947783
2020-08-14,5.8000,6.0500,5.7800,6.0500,16328599
2020-08-13,5.9300,6.0200,5.8100,5.8900,16856163
2020-08-12,6.1400,6.1500,5.8500,5.9800,20526994
2020-08-11,6.2100,6.3600,5.9100,5.9400,28332668
2020-08-10,5.7700,6.0700,5.7200,6.0400,25702967
2020-08-07,5.6200,5.7500,5.4550,5.7400,28780715
2020-08-06,5.8500,5.8850,5.6200,5.6800,31515125
