timestamp,open,high,low,close,volume
2020-11-25,13.5900,13.8250,13.3900,13.6000,6770183
2020-11-24,13.8000,14.1500,13.6200,14.0000,6627812
2020-11-23,12.6000,13.3200,12.4800,13.2800,5304986
2020-11-20,12.1800,12.4600,12.0300,12.3100,6364674
2020-11-19,11.7800,12.3350,11.7000,12.3100,3965956
2020-11-18,12.3400,12.6300,11.9300,11.9400,4716947
2020-11-17,11.7500,12.2450,11.7500,12.2000,7427217
2020-11-16,11.6800,12.0600,11.4800,12.0400,5296153
2020-11-13,10.6300,11.0400,10.6100,10.9800,6035691
2020-11-12,10.4300,10.8750,10.3900,10.5000,4744002
2020-11-11,11.1000,11.1500,10.5000,10.7100,5227892
2020-11-10,11.5500,11.8050,10.7950,11.0100,8344879
2020-11-09,10.2800,11.9050,10.2700,11.4600,9893540
2020-11-06,9.2600,9.3750,8.8900,9.0000,4675048
2020-11-05,9.0700,9.4350,9.0700,9.3000,5709751
2020-11-04,9.2300,9.2800,8.6800,9.0500,5704258
2020-11-03,9.3600,9.4200,8.9100,9.0700,4990254
2020-11-02,8.5900,9.2600,8.3300,9.1100,7837314
2020-10-30,8.0800,8.4300,7.9450,8.4000,6587046
2020-10-29,7.8400,8.1300,7.7000,8.1000,7499974
2020-10-28,8.2500,8.4400,7.9900,8.0100,8362134
2020-10-27,9.1000,9.2000,8.4400,8.5900,9030418
2020-10-26,9.0400,9.0750,8.8100,8.9300,4970824
2020-10-23,9.3600,9.3950,9.0050,9.1900,4780202
2020-10-22,9.0200,9.3100,8.9050,9.3100,4890196
2020-10-21,9.0300,9.3200,8.9800,9.0100,4754128
2020-10-20,8.8900,9.2600,8.8400,9.1400,4933755
2020-10-19,8.7200,9.0500,8.6200,8.7000,4918301
2020-10-16,8.9000,9.0250,8.5600,8.6000,5644784
2020-10-15,8.5900,8.9800,8.5200,8.9700,7201131
2020-10-14,8.6600,9.1000,8.6400,8.8000,8012729
2020-10-13,8.9700,9.0100,8.5800,8.6300,5035918
2020-10-12,9.0000,9.0900,8.7500,9.0400,3853754
2020-10-09,9.3400,9.3800,8.9800,9.0500,3369807
2020-10-08,8.8700,9.2600,8.8100,9.2500,5000881
2020-10-07,8.7100,8.8500,8.5900,8.7700,3483512
2020-10-06,9.1700,9.3000,8.6200,8.6700,5229763
2020-10-05,8.8900,9.0700,8.8350,8.9600,3710686
2020-10-02,8.1900,8.8950,8.1300,8.7000,5685977
2020-10-01,8.8900,8.9350,8.5200,8.6600,7754698
2020-09-30,9.3200,9.5150,8.9600,9.0600,7081918
2020-09-29,9.6800,9.7050,9.0500,9.2100,7566084
2020-09-28,9.8200,10.1000,9.7100,9.8000,6479067
2020-09-25,10.0100,10.1800,9.5000,9.5100,10794102
2020-09-24,10.3000,10.4900,9.9900,10.1500,4729765
2020-09-23,10.8000,10.8400,10.3100,10.4000,5930636
2020-09-22,10.8100,11.0750,10.7350,10.8100,4767597
2020-09-21,11.2700,11.3300,10.6700,10.8400,6172375
2020-09-18,11.7800,12.0800,11.6100,11.7400,10853030
2020-09-17,11.7100,11.8500,11.5000,11.8500,5226245
2020-09-16,11.5500,12.1000,11.3400,11.9300,4008787
2020-09-15,11.3500,11.4800,11.1250,11.3200,5606320
2020-09-14,11.1900,11.4000,11.0399,11.3000,3272647
2020-09-11,11.2100,11.3500,11.0400,11.2100,3510847
2020-09-10,11.5400,11.6000,11.0700,11.1500,5220519
2020-09-09,11.4900,11.6800,11.3000,11.5000,3566049
2020-09-08,11.8200,11.8800,11.2850,11.4000,7716945
2020-09-04,12.1200,12.2500,11.9300,12.1500,2796782
2020-09-03,11.8900,12.5000,11.8000,11.9900,4579208
2020-09-02,11.9500,12.0000,11.7800,11.8400,3550553
2020-09-01,11.8500,12.1600,11.8300,11.9400,3647699
2020-08-31,12.3100,12.4000,11.8900,12.0000,3730404
2020-08-28,12.1100,12.4000,12.0000,12.3200,2423454
2020-08-27,11.9100,12.0900,11.8100,12.0700,2464396
2020-08-26,12.0400,12.1400,11.8300,11.9100,4341351
2020-08-25,12.3200,12.4300,12.0000,12.0900,2074262
